match_number,team_key,ba_autoCoralCount_data,a_L4_data,a_L3_data,a_L2_data,a_L1_data,a_L4_wl,a_L3_wl,a_L2_wl,a_L1_wl,min_delta
1,1778,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,2412,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2910,7.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
1,360,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1,6831,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
1,9567,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,3218,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,3663,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
2,4043,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2,5468,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
2,9442,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,948,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1425,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3,2976,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3674,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7034,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3,9450,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
3,997,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10416,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4131,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6443,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6696,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4,9023,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,9446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2147,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,2471,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,4061,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,4125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
5,4513,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
5,5937,3.0,0.0,0.0,0.0,0.0,,,,,1.0
6,10079,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6,2522,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6,3826,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4450,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,4469,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
6,9036,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
7,1318,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,2046,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,2930,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7,3574,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,488,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6343,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,2557,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
8,3636,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4915,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8,492,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,955,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
8,957,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
9,1540,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9,2412,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,4131,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4512,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
9,5468,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
9,9023,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,1425,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,2471,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2910,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10,3663,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
10,5937,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,9446,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3218,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11,4450,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,6443,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,6831,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
11,7034,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
11,9036,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
12,10079,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10416,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,360,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12,3826,5.0,0.0,0.0,0.0,1.0,,,,,0.0
12,488,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12,6343,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13,1318,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13,2147,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,2976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3674,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13,492,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,948,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14,2046,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
14,4125,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4469,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
14,9442,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
14,9567,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
14,957,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
15,1540,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
15,1778,5.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
15,2522,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
15,2557,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,3636,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15,4061,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
16,2930,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,3574,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,4915,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16,6696,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,9450,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,997,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,360,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17,4043,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17,4512,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,4513,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,6831,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
17,955,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,2976,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,3663,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4131,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18,488,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18,9036,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18,9446,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,2046,9.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
19,2412,9.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19,2910,9.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
19,6343,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
19,7034,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
19,948,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,10079,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
20,2557,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0
20,4469,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,5937,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,9023,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
20,9567,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
21,2930,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21,3218,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21,3636,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21,4061,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4125,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,492,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,1540,7.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
22,2147,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,4450,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,4512,7.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
22,4915,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,997,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,1318,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23,2471,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,3826,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
23,5468,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
23,6696,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,955,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
24,10416,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,1425,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24,2522,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
24,3574,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,4043,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24,957,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,1778,7.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
25,3674,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
25,4513,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,6443,7.0,0.0,0.0,0.0,0.0,,,,,1.0
25,9442,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25,9450,7.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
26,2412,4.0,1.0,0.0,0.0,0.0,,,,,0.0
26,2930,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26,488,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26,5937,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,7034,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26,9036,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
27,4061,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,4469,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27,4915,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,492,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,6831,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
27,948,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,10079,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
28,2471,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,4125,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,4450,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,4512,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
28,6696,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,10416,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,2147,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,3574,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,3663,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
29,3826,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,9567,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
30,2557,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,360,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30,3674,6.0,3.0,0.0,0.0,0.0,,,,,0.0
30,4043,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30,4131,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,4131,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,4513,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1778,6.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31,2046,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31,6343,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,9446,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,957,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
31,997,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,1318,3.0,1.0,0.0,0.0,0.0,,,,,0.0
32,1425,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,2522,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32,3218,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,3636,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32,9442,6.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
33,1540,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,2910,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
33,2976,4.0,1.0,0.0,0.0,0.0,,,,,0.0
33,5468,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
33,6443,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,955,4.0,0.0,0.0,1.0,0.0,,,,,0.0
34,2412,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34,2930,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34,3663,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34,4450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,9023,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
34,9450,7.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
35,2557,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,3574,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,3674,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,3826,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
35,4061,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,4131,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
36,4512,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
36,488,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
36,5937,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,6831,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,948,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,957,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
37,1425,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
37,360,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,3636,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,6343,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,6696,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,9036,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
38,10079,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,1778,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
38,2147,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,4043,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,5468,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
38,7034,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,10416,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,1540,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,2910,6.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
39,4125,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
39,4915,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
39,9442,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
40,2046,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
40,2522,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
40,2976,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,6443,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,955,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
40,9567,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
41,2471,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3218,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,4513,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
41,492,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,9023,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
41,997,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,1318,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
42,3663,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
42,4469,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
42,6831,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,9446,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,9450,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,2147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2557,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
43,4450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,6343,2.0,0.0,0.0,0.0,0.0,,,,,0.0
43,9036,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
43,948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2910,6.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
44,4043,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,4125,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
44,488,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
44,5468,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
44,6696,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,1425,7.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
45,1540,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
45,3674,7.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
45,3826,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,4061,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,957,5.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
46,2471,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2522,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
46,360,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,7034,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
46,9023,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,9442,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
47,10416,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,2046,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
47,2930,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
47,2976,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,4469,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,4513,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,10079,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
48,1778,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
48,3218,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
48,4915,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
