key,team_number,nickname,country,address,postal_code,gmaps_place_id,gmaps_url,lat,lng,location_name,website,rookie_year,state_prov,city,name,school_name,db_type,team_scouter,pit_c_intake,pit_c_L4,pit_a_ground_intake,pit_c_L3,pit_a_reef_levels,pit_a_processor,pit_max_auto_a,pit_a_net,pit_Endgame,pit_Scout_Notes,pit_max_auto_c,pit_a_reef_remove,pit_c_L2,pit_c_L1,pit_a_reef_intake
frc1359,1359,Scalawags,USA,,97355,,,,,,https://www.scalawags.org,2004,Oregon,Lebanon,Confederated Tribe of Siletz Indians/Gene Haas Foundation/Optimal Control Systems/Argosy/LAM/Feral and Free Creations/Bertha L Harris Fund of Oregon Community FOundation/Pizza Schmizza/Peak Internet/Linn Gear/Cafe Rock/Summit Ace Hardware/International Brotherhood of Electrical Workers Local 280&Venture Crew 308,Venture Crew 308,Swerve,Aa,Both Ways,Tele,Can't,Tele,Can't,Can't,0,Can't,Deep Climb,,0,Can't,Tele,Tele,Can't
frc2147,2147,CHUCK,USA,,99212,,,,,,http://chuck2147.com,2007,Washington,Spokane,True Seals/Spokane Valley Rotary Club/Independent Dealers Education Association&West Valley High School,West Valley High School,Swerve,Aa,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
frc2374,2374,Jesuit Robotics,USA,,97225,,,,,,http://www.team2374.com,2008,Oregon,Portland,&Jesuit High School,Jesuit High School,Swerve,aarush,Station,Tele,Can,Tele,Both,Tele,0,Tele,None,,1,Tele,Tele,Both,Tele
frc2521,2521,SERT,USA,,97405,,,,,,http://www.sert2521.org,2008,Oregon,Eugene,"Central Lane Robotics,/Google,/Service Family Foundation,/Willamette Valley Company,/Springfield Utility Board,/Jim,&Family/Community",Family/Community,Swerve,Ol,Both Ways,Tele,Can,Tele,Can't,Tele,0,Can't,None,Working on auto coral placement,0,Tele,Tele,Tele,Can't
frc2550,2550,Skynet,USA,,97045,,,,,,http://team2550.blogspot.com/,2008,Oregon,Oregon City,"LAM International/Creative Plastics/Xerox/UnitedHealth Group/Whitaker Ellis Builders, Inc/Argosy/Torrey Edwards/TEL/GK Machine/Autodesk/Troutdale Sand and Gravel&Clackamas Acad-Industrial Sci",Clackamas Acad-Industrial Sci,Swerve,,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
frc2635,2635,Lake Monsters,USA,,97034,,,,,,https://www.frc2635.org,2008,Oregon,Lake Oswego,LAM Research/Intel/Boeing/Mentor Graphics/DWFritz/WA FIRST Robotics/Really Big Video/Markforged&Lake Oswego High School&Lakeridge High School,Lakeridge High School & Lake Oswego High School,Swerve,P olivi,Station,Tele,Can,Tele,Both,Tele,0,Can't,Deep Climb,"Very consistent deep, unreliable l1",0,Tele,Tele,Can't,Tele
frc2811,2811,StormBots,USA,,98685,,,,,,http://www.stormbots.com,2009,Washington,Vancouver,Boeing/Daimler Truck North America/Guaranteed Rate/Protech/ConMet/OSPI/Vancouver Pubic Schools/SEH America&Skyview High School,Skyview High School,Swerve,,Ground,Tele,Can,Tele,Both,Tele,0,Tele,Deep Climb,,0,Tele,Tele,Can't,Tele
frc2898,2898,Flying Hedgehogs,USA,,97006,,,,,,http://www.team2898.bpsrobotics.org,2009,Oregon,Portland,LAM Research/Intel/UL/Natalie Lee/Fidelity Charitable Donald Marumoto Memorial Fund/SolidWorks/ODE Oregon Dept of Education/Southwest Trailer Service/Friends of Japan/Copperforge/BPS Robotics & Family/Community,Family/Community,Swerve,P oliv,Station,Tele,Can't,Tele,Both,Tele,0,Can't,None,,0,Tele,Tele,Tele,Tele
frc2926,2926,Robo Sparks,USA,,98951,,,,,,http://www.robosparks.com,2009,Washington,Wapato,Washington State Office of Superintendent of Public Instruction/Collins Aerospace/Matilda Moreno Montgomery (1966)/FIRST WA Board Grant/Wolf Den/Wapato School District (WSD)&Wapato Senior High School,Wapato Senior High School,Swerve,Aa,Station,Both,Can't,Tele,Both,Can't,0,Can't,None,,2,Tele,Tele,Tele,Can't
frc2990,2990,Hotwire,USA,,97392,,,,,,http://hotwirerobotics.com,2009,Oregon,Turner,HP Civil Inc/SCTC/Freres Lumber/Blazer Industries/CoBank/Elavate Modular/Oregon State Bridge Construction&Hotwire Robotics,Hotwire Robotics,Swerve,Suhaani,Station,Can't,Can,Can't,L2,Tele,0,Can't,Deep Climb,,1,Tele,Can't,Both,Tele
frc3024,3024,My Favorite Team,USA,,97520,,,,,,,2009,Oregon,Ashland,"Boeing/Rogue Natural Foods/Coast Aluminum Inc./Harbor Freight/Society of Professional Engineers, Southern Oregon Chapter/Ron Constable/Aces High aerial camera systems/Jeff Nielsen/Argosy Foundation&Ashland High School",Ashland High School,Swerve,Aa,Station,Tele,Can,Tele,Both,Tele,0,Tele,Deep Climb,,0,Tele,Tele,Tele,Auto
frc3674,3674,CloverBots,USA,,98604,,,,,,https://www.3674cloverbots.com/,2011,Washington,Battle Ground,Boeing/US Digital/HP/OSPI / CAM Academy/NASA/WSU 4-H&Cam Academy&Family/Community,Family/Community & Cam Academy,Swerve,,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
frc3712,3712,RoboCats,USA,,97883,,,,,,http://www.firstinspires.org/,2011,Oregon,Union,Union School District/Oregon Masons/Union Lions Club/GRV Lodge #56/VFW Post 4060 & Union High School,Union High School,Swerve,,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
frc3786,3786,Chargers,USA,,98031,,,,,,http://chargerrobotics.com,2011,Washington,Kent,The Boeing Company/McDonald Miller - Facility Solutions/OSPI/Hexcel Corporation&Kentridge High School,Kentridge High School,Swerve,Livia,Station,Tele,Can't,Tele,Can't,Can't,0,Can't,None,"Will be remove algae offered, l4 concentrated rn",0,Can't,Tele,Tele,Can't
frc4060,4060,Bearcat Robotics,USA,,98532,,,,,,http://swag4060.org,2012,Washington,Chehalis,Chehalis Foundation / Boeing / OSPI Washington / SPEEA & W F West High School,W F West High School,Swerve,Aa,Station,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,1,Can't,Can't,Both,Can't
frc4061,4061,SciBorgs,USA,,99163,,,,,,http://sciborgs4061.com/,2012,Washington,Pullman,Schweitzer Engineering Laboratories/Electrical Contractors Northwest/Boeing/TC Energy/BAE Systems/Real Digital/OSPI/Colfax Thrifty Grandmother's&4H P.A.R.T.,4H P.A.R.T.,Swerve,Ol,Station,Can't,Can't,Both,Can't,Can't,0,Can't,None,,2,Both,Tele,Can't,Can't
frc4125,4125,Confidential,USA,,97882,,,,,,http://www.umatillarobotics.org,2012,Oregon,Umatilla,Umatilla School District/21st Century Community Learning Center/Amazon Web Services/Darla Huxel/Uriel Aparicio&Umatilla High School,Umatilla High School,Swerve,Aa,Both Ways,Tele,Can't,Tele,Can't,Can't,0,Can't,None,,1,Can't,Tele,Both,Can't
frc4513,4513,Circuit Breakers,USA,,99022,,,,,,http://www.medicallakerobotics.com,2013,Washington,Medical Lake,Washington State OSPI/Boeing/FIRST Washington/Bixby Machine Tool Supply/American Steel Corporation/2nd BioScience/Medical Lake Dollars for Scholars/Medical Lake School District/West Plains Angels&Medical Lake High School,Medical Lake High School,Swerve,,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
frc4692,4692,Metal Mallards,USA,,98649,,,,,,http://www.firstinspires.org/,2013,Washington,Toutle,OSPI/Washington First/Weyerhaeuser/Toutle Lake School Dist./5 Star Auto body/Mondial Group/Friends and Family &Toutle Lake School,Toutle Lake School,Swerve,Aa,Station,Tele,Can,Tele,Both,Tele,0,Can't,Deep Climb,like L4,0,Tele,Tele,Tele,Tele
frc5683,5683,R.A.V.E.N.,USA,,98002,,,,,,https://helloworldrobotics.weebly.com/,2015,Washington,Auburn,The Boeing Company / SPEEA & Auburn Riverside High School,Auburn Riverside High School,Swerve,,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
frc5920,5920,VIKotics,USA,,99161,,,,,,http:///www.garpal.net,2016,Washington,Palouse,"Metals Fabrication Company/Washington FIRST Robotics/W.F. Halpin Math & Science Foundation/Office Superintendent of Public Instruction/Schweitzer Engineering Laboratories, Inc. & Palouse School",Palouse School,Swerve,Aa,Ground,Tele,Can't,Tele,Can't,Can't,0,Can't,None,Like L 2 3,0,Can't,Tele,Tele,Can't
frc5937,5937,MI Robotics,USA,,98040,,,,,,https://www.team5937.org,2016,Washington,Mercer Island,NUCOR Steel/OSPI/Kornblum Legal/Mercer Island ASB/Boeing/Paggliaci &Mercer Island High School,Mercer Island High School,Swerve,Oli,Can't,Can't,Can,Can't,Both,Tele,0,Tele,None,"Climber janky , algae specializes",1,Tele,Can't,Auto,Tele
frc6343,6343,Steel Ridge,USA,,98642,,,,,,https://steelridge6343.org,2017,Washington,Ridgefield,"Washington OSPI/Ridgefield Lions/RTX-Raytheon/Torc Robotics, Inc/Intel/Dalley Family/IBM/Daimler/Hutton Family/The Dentist at Felida/The Siegel Family/Parr Lumber/Barbara & Scott Wall/Tektronix/The Sekelsky Family/Mod Pizza/Robert Dalley/Columbia West Engineering/Ridgefield Boosters/Wisdom Ridge Academy&Ridgefield High School",Ridgefield High School,Swerve,Aa,Both Ways,Tele,Can't,Tele,Both,Can't,0,Can't,Deep Climb,,0,Tele,Tele,Can't,Can't
frc6465,6465,Mystic Biscuit,USA,,97703,,,,,,https://www.mysticbiscuit.org,2017,Oregon,Bend,Subaru of Bend/Eco Offroad/Defense Architecture Systems/TechSoft3d/ColeBreit/Argosy Foundation/Exosonic/Lam/Knife River/The Wonderful Company/Dermatology Health Specialists/AnalyticsWare/Machinable Innovations/AutoDesk&Cascades Academy,Cascades Academy,Swerve,Livi,Station,Can't,Can't,Tele,Can't,Can't,0,Can't,None,"Working on algae intake, algae remove during auto in works too",0,Tele,Tele,Tele,Can't
frc6845,6845,River Bots,USA,,97103,,,,,,http://riverbots.weebly.com,2018,Oregon,Astoria,Oregon Dept of Education/Lucy's Books/Hauer Property Management/P&L Johnson/Ag-Bag Forage Solutions/Big River Construction Inc. /TacoCat Hospitality &Astoria High School,Astoria High School,Swerve,pic,Can't,Can't,Can't,Tele,Both,Tele,0,Tele,Deep Climb,,0,Tele,Tele,Can't,Tele
frc7034,7034,2B Determined,USA,,97068,,,,,,,2018,Oregon,West Linn,NASA/Boeing/Walsh Construction/Clackamas Steel & Manufacturing&West Linn High School,West Linn High School,Swerve,Pic olivia,Station,Both,Can't,Tele,Can't,Can't,0,Can't,Deep Climb,,1,Tele,Tele,Tele,Can't
frc749,749,Ctrl V,USA,,,,,,,,,2002,Oregon,Corvallis,Crescent Valley High School,Crescent Valley High School,Tank,Aa,Station,Can't,Can,Tele,L2,Can't,0,Can't,None,,2,Tele,Both,Can't,Can't
frc753,753,High Desert Droids,USA,,97701,,,,,,http://www.team753.org/,2002,Oregon,Bend,iFixit/Outback Manufacturing/FIA Custom CNC/Zamp Solar/McDonald's Corporation&Mountain View Sr High School,Mountain View Sr High School,Swerve,Liv,Station,Can't,Can't,Tele,Can't,Can't,0,Can't,Deep Climb,"Should score orc by next comp, dontaimfor l1 but sometimes can only auto is leave",0,Tele,Tele,Can't,Can't
frc847,847,PHRED,USA,,97370,,,,,,http://www.team847.com,2002,Oregon,Philomath,Curtiss Wright/PacStar/Philomath Boosters Club/Mattress World Northwest/Lam Research/Maxfield Family Foundation/Argosy Foundation/Hollingsworth and Vose/McMenamins on Monroe/Chipotle/Philomath Lions Club/Philomath Rental/Corvallis Clinic/Philomath Classic Car Show/FIRST/FIRST Washington&Philomath High School,Philomath High School,Swerve,Pic,Station,Tele,Can't,Tele,Can't,Can't,0,Can't,None,,0,Tele,Tele,Auto,Can't
frc8532,8532,Classified,USA,,,,,,,,,2021,Oregon,Umatilla,Umatilla School District/21st CCLC STEAM Academy/AWS/Chief Huxel/Uriel Aparicio&Umatilla High School,Umatilla High School,Swerve,,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
frc9438,9438,Leopard Tech,USA,,,,,,,,,2024,Oregon,Cove,Cove School District/Agrosy Foundation/LAM Research/Autodesk/GOSTEM&Cove School,Cove School,Swerve,pic,Station,Tele,Can't,Tele,Can't,Can't,0,Can't,None,Like B,0,Can't,Tele,Tele,Can't
frc955,955,Ctrl C,USA,,97330,,,,,,http://www.cv955.com,2002,Oregon,Corvallis,Corvallis School District/Corvallis Elks Lodge #1413/Autzen Foundation/HP/Argosy Foundation/Batteries Plus Bulbs&Crescent Valley High School,Crescent Valley High School,Swerve,Aaru,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
frc9567,9567,StormBreakers,USA,,,,,,,,,2024,Washington,Vancouver,NASA/Boeing/Daimler Truck North America/Guaranteed Rate/Vancouver Public Schools/OSPI/ConMet/SEH America&Skyview High School,Skyview High School,Tank,Aa,Station,Can't,Can,Can't,Can't,Tele,0,Can't,Shallow Climb,won't interfere with climb,1,Can't,Can't,Both,Can't
frc9600,9600,X-Flare Robotics,USA,,,,,,,,,2024,Oregon,Elkton,Argosy International/7Robotics/Roseburg Forest Products&Elkton High School,Elkton High School,Swerve,,Can't,Can't,Can't,Can't,Can't,Can't,0,Can't,None,,0,Can't,Can't,Can't,Can't
frc9613,9613,Lion's Byte,USA,,,,,,,,,2024,Washington,Kennewick,Kennewick High School,Kennewick High School,Swerve,Aa,Station,Can't,Can't,Tele,Both,Tele,0,Can't,None,,0,Tele,Tele,Tele,Can't
frc997,997,Spartan Robotics,USA,,97330,,,,,,http://www.chsrobotics.org,2002,Oregon,Corvallis,"HAAS/HP, Inc/Argosy Foundation/LAM Research/Corvallis Public School Foundation/Factorywiz/Marie Lamfrom Foundation/JW Gibbs Construction, LLC/Oregon State University - College of Oceanography and Atmospheric Sciences/Grocery Outlet&Corvallis High School",Corvallis High School,Swerve,Olivi,Station,Both,Can't,Tele,Both,Tele,0,Can't,None,"L4 in auto is in testing rn, ",0,Tele,Tele,Tele,Tele